ID,Bay,Indiv,Farm,Distance,Lat,Lng,Date,State,Ploidy,Culture,Valve,Shell_g,Tissue_g,x,y,z,Thick,Infested
2020 Winter Carr Inlet,Henderson Inlet,89,NIS,36.3,47.1107432,-122.8465156,2/3/20,WA,diploid,NA,R,17.77,19.79,5,8.4,0.5,NA,1
2020 Winter Carr Inlet,Henderson Inlet,89,NIS,36.3,47.1107432,-122.8465156,2/3/20,WA,diploid,NA,L,37.05,NA,6.1,9.5,2.5,NA,NA
2020 Winter Carr Inlet,Henderson Inlet,90,NIS,36.3,47.1107432,-122.8465156,2/3/20,WA,diploid,NA,R,14.88,21.87,4.2,9.1,0.4,NA,1
2020 Winter Carr Inlet,Henderson Inlet,90,NIS,36.3,47.1107432,-122.8465156,2/3/20,WA,diploid,NA,L,45.9,NA,4.8,9.9,3.3,NA,NA
2020 Winter Port Townsend,Port Townsend Bay,28,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,R,14,9.39,42.39,81.89,3.96,NA,0
2020 Winter Port Townsend,Port Townsend Bay,28,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,L,27.74,NA,50.94,94.65,48.27,NA,NA
2020 Winter Port Townsend,Port Townsend Bay,29,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,R,10.18,11.19,44.5,77.3,6.83,NA,0
2020 Winter Port Townsend,Port Townsend Bay,29,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,L,17.97,NA,54.57,88.32,51.06,NA,NA
2020 Winter Port Townsend,Port Townsend Bay,30,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,R,7.91,10.02,34.9,61.9,5.2,NA,0
2020 Winter Port Townsend,Port Townsend Bay,30,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,L,25.59,NA,43.1,77.3,29.9,NA,NA
2020 Winter Port Townsend,Port Townsend Bay,31,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,R,17.87,16.22,46.2,82.9,8.9,NA,0
2020 Winter Port Townsend,Port Townsend Bay,31,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,L,30.23,NA,52.6,97.3,18.05,NA,NA
2020 Winter Port Townsend,Port Townsend Bay,32,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,R,13.67,14.85,43.8,80.9,6.3,NA,0
2020 Winter Port Townsend,Port Townsend Bay,32,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,L,27.14,NA,51.4,93.6,20.9,NA,NA
2020 Winter Port Townsend,Port Townsend Bay,33,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,R,9.25,10.62,41.9,66.5,4.6,NA,0
2020 Winter Port Townsend,Port Townsend Bay,33,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,L,17.62,NA,47.5,76.8,19.5,NA,NA
2020 Winter Port Townsend,Port Townsend Bay,34,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,R,15.5,13.11,45.3,79.3,5.2,NA,0
2020 Winter Port Townsend,Port Townsend Bay,34,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,L,30.3,NA,51.4,96.9,19.6,NA,NA
2020 Winter Port Townsend,Port Townsend Bay,35,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,R,13.4,13.95,47.2,76.9,8.4,NA,0
2020 Winter Port Townsend,Port Townsend Bay,35,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,L,23.8,NA,50.9,87.1,22.4,NA,NA
2020 Winter Port Townsend,Port Townsend Bay,36,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,R,14.46,17.97,46.3,79.7,6.7,NA,0
2020 Winter Port Townsend,Port Townsend Bay,36,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,L,32.15,NA,50.8,96.6,31.2,NA,NA
2020 Winter Port Townsend,Port Townsend Bay,37,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,R,10.94,85.63,43.9,76.5,5.5,NA,1
2020 Winter Port Townsend,Port Townsend Bay,37,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,L,22.75,NA,54.4,83.3,18.9,NA,NA
2020 Winter Port Townsend,Port Townsend Bay,38,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,R,11.75,16.77,41.9,70.6,7.34,NA,0
2020 Winter Port Townsend,Port Townsend Bay,38,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,L,23.21,NA,48.5,81.8,27.7,NA,NA
2020 Winter Port Townsend,Port Townsend Bay,39,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,R,19.09,19.64,53.3,74.6,12.5,NA,0
2020 Winter Port Townsend,Port Townsend Bay,39,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,L,36.08,NA,61.2,82.9,28.5,NA,NA
2020 Winter Port Townsend,Port Townsend Bay,40,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,R,12.98,12.71,38.9,75.8,5.8,NA,0
